Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Raimondo Orsi,3,1934,Italy,Avellaneda,Argentina,0.0,0.0
Gigi Riva,3,1970-1974,Italy,Leggiuno,Italy,0.0,0.0
Gianni Rivera,3,1962-1966-1970-1974,Italy,Alessandria,Italy,0.0,0.0
Cuauhtemoc Blanco,3,1998-2002-2010,Mexico,Mexico City,Mexico,0.0,0.0
Rafael Marquez,3,2002-2006-2010-2014,Mexico,Zamora,Mexico,0.0,0.0
Johan Cruyff,3,1974,Netherlands,Amsterdam,Netherlands,0.0,0.0
Gerry Armstrong,3,1982,Northern Ireland,Belfast,United Kingdom,0.0,0.0
Nelson Cuevas,3,2002-2006,Paraguay,Asunción,Paraguay,0.0,0.0
Jose Augusto,3,1966,Portugal,Barreiro,Portugal,0.0,0.0
Jose Torres,3,1966,Portugal,Torres Novas,Portugal,0.0,0.0
Artem Dzyuba,3,2018,Russia,Moscow,Russia,0.0,0.0
Sami Al Jaber,3,1994-1998-2002-2006,Saudi Arabia,Riyadh,Saudi Arabia,0.0,0.0
Joe Jordan,3,1974-1978-1982,Scotland,Cleland,United Kingdom,0.0,0.0
Bouba Diop,3,2002,Senegal,Dakar,Senegal,0.0,0.0
Ahn Jung Hwan,3,2002-2006,South Korea,Paju,South Korea,0.0,0.0
Son Heungmin,3,2014-2018,South Korea,Chuncheon,South Korea,0.0,0.0
Park Ji Sung,3,2002-2006-2010,South Korea,Seoul,South Korea,0.0,0.0
Jose Luis Caminero,3,1994,Spain,Madrid,Spain,0.0,0.0
Diego Costa,3,2018,Spain,Lagarto,Brazil,0.0,0.0
Julio Salinas,3,1986-1990-1994,Spain,Bilbao,Spain,0.0,0.0
Harry Andersson,3,1938,Sweden,Norrköping,Sweden,0.0,0.0
Sven Jonasson,3,1934-1938,Sweden,Borås,Sweden,0.0,0.0
Arne Nyberg,3,1938,Sweden,Säffle,Sweden,0.0,0.0
Karl Erik Palmer,3,1950,Sweden,Malmö,Sweden,0.0,0.0
Stig Sundqvist,3,1950,Sweden,Boden,Sweden,0.0,0.0
Gustav Wetterstrom,3,1938,Sweden,Norrköping,Sweden,0.0,0.0
Jackie Fatton,3,1950-1954,Switzerland,Exincourt,France,0.0,0.0
Leopold Kielholz,3,1934,Switzerland,Basel,Switzerland,0.0,0.0
Sargun Burhan,3,1954,Turkey,Ankara,Turkey,0.0,0.0
Ilhan Mansiz,3,2002,Turkey,Kempten im Allgäu,Germany,0.0,0.0
Juan Anselmo,3,1930,Uruguay,Montevideo,Uruguay,0.0,0.0
Juan Hohberg,3,1954,Uruguay,Córdoba,Argentina,0.0,0.0
Brian Mcbride,3,1998-2002-2006,USA,Arlington Heights,United States,0.0,0.0
Eduard Malofeyev,3,1966,USSR,Krasnoyarsk,Russia,0.0,0.0
Dusan Bajevic,3,1974,Yugoslavia,Mostar,Bosnia and Herzegovina,0.0,0.0
Ivica Bek,3,1930,Yugoslavia,Belgrade,Serbia,0.0,0.0
Milan Galic,3,1962,Yugoslavia,Bosansko Grahovo,Bosnia and Herzegovina,0.0,0.0
Robert Prosinecki,3,1990-1998-2002,Yugoslavia,Villingen,Germany,0.0,0.0
Dragan Stojkovic,3,1990-1998,Yugoslavia,Niš,Serbia,0.0,0.0
Toza Veselinovic,3,1958,Yugoslavia,Novi Sad,Serbia,0.0,0.0
Angel Di Maria,3,2014-2018-2022,Argentina,Rosario,Argentina,0.0,0.0
Andre Ayew,3,2014-2022,Ghana,Seclin,France,0.0,0.0
Memphis Depay,3,2014-2022,Netherlands,Moordrecht,Netherlands,0.0,0.0
Wahbi Khazri,3,2018-2022,Tunisia,Ajaccio,France,0.0,0.0
Andrej Kramaric,3,2018-2022,Croatia,Zagreb,Croatia,0.0,0.0
Cody Gakpo,3,2022,Netherlands,Eindhoven,Netherlands,0.0,0.0
Marcus Rashford,3,2022,England,Manchester,United Kingdom,0.0,0.0
Bukayo Saka,3,2022,England,Ealing,United Kingdom,0.0,0.0
Richarlison,3,2022,Brazil,Nova Venécia,Brazil,0.0,0.0
Goncalo Ramos,3,2022,Portugal,Olhão,Portugal,0.0,0.0
Alvaro Morata,3,2022,Spain,Madrid,Spain,0.0,0.0
Salah Assad,2,1982-1986,Algeria,Larbaâ Nath Irathen,Algeria,0.0,0.0
Abdelmoumene Djabou,2,2014,Algeria,Sétif,Algeria,0.0,0.0
Islam Slimani,2,2014,Algeria,Algiers,Algeria,0.0,0.0
Sergio Aguero,2,2018,Argentina,Buenos Aires,Argentina,0.0,0.0
Luis Monti,2,1930-1934,Argentina,Buenos Aires,Argentina,0.0,0.0
