Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Mohamed Salah,2,2018,Egypt,Nagrig,Egypt,0.0,0.0
Ivor Broadis,2,1954,England,Isle of Dogs,United Kingdom,0.0,0.0
Tom Finney,2,1950-1954-1958,England,Preston - Lancashire,United Kingdom,0.0,0.0
Ron Flowers,2,1962,England,Edlington,United Kingdom,0.0,0.0
Trevor Francis,2,1982,England,Plymouth,United Kingdom,0.0,0.0
Derek Kevan,2,1958,England,Ripon,United Kingdom,0.0,0.0
Martin Peters,2,1966-1970,England,Plaistow - Newham,United Kingdom,0.0,0.0
Bryan Robson,2,1982-1986-1990,England,Chester-le-Street,United Kingdom,0.0,0.0
Alan Shearer,2,1998,England,Gosforth,United Kingdom,0.0,0.0
John Stones,2,2018,England,Barnsley,United Kingdom,0.0,0.0
Andre Maschinot,2,1930,France,Valdoie,France,0.0,0.0
Jean Pierre Papin,2,1986,France,Boulogne-sur-Mer,France,0.0,0.0
Emmanuel Petit,2,1998-2002,France,Dieppe,France,0.0,0.0
Paul Pogba,2,2014-2018,France,Lagny-sur-Marne,France,0.0,0.0
Didier Six,2,1978-1982,France,Lille,France,0.0,0.0
Yannick Stopyra,2,1986,France,Troyes,France,0.0,0.0
Lilian Thuram,2,1998-2002-2006,France,Pointe-à-Pitre,France,0.0,0.0
Patrick Vieira,2,1998-2002-2006,France,Dakar,Senegal,0.0,0.0
Jean Vincent,2,1954-1958,France,Labeuvrière,France,0.0,0.0
Maryan Wisnieski,2,1958,France,Calonne-Ricouart,France,0.0,0.0
Klaus Allofs,2,1986,Germany,Düsseldorf,Germany,0.0,0.0
Klaus Fischer,2,1978-1982,Germany,West Germany,Germany,0.0,0.0
Heinz Flohe,2,1974-1978,Germany,Cologne,Germany,0.0,0.0
Mario Goetze,2,2014,Germany,Memmingen,Germany,0.0,0.0
Karl Hohmann,2,1934,Germany,Düsseldorf,Germany,0.0,0.0
Mats Hummels,2,2014,Germany,Bergisch Gladbach,Germany,0.0,0.0
Sami Khedira,2,2010-2014,Germany,Stuttgart,Germany,0.0,0.0
Ernest Lehner,2,1934-1938,Germany,Augsburg,Germany,0.0,0.0
Dieter Muller,2,1978,Germany,Offenbach am Main,Germany,0.0,0.0
Oliver Neuville,2,2002-2006,Germany,Locarno,Switzerland,0.0,0.0
Mesut Ozil,2,2010-2014,Germany,Gelsenkirchen,Germany,0.0,0.0
Bastian Schweinsteiger,2,2006-2010,Germany,Kolbermoor,Germany,0.0,0.0
Joachim Streich,2,1974,Germany,Wismar,Germany,0.0,0.0
Sulley Muntari,2,2006-2010,Ghana,Konongo,Ghana,0.0,0.0
Emmanuel Sanon,2,1974,Haiti,Port-au-Prince,Haiti,0.0,0.0
Laszlo Fazekas,2,1978-1982,Hungary,Budapest,Hungary,0.0,0.0
Mihaly Lantos,2,1954,Hungary,Budapest,Hungary,0.0,0.0
Kalman Meszoly,2,1962-1966,Hungary,Budapest,Hungary,0.0,0.0
Tibor Nyilasi,2,1978-1982,Hungary,Várpalota,Hungary,0.0,0.0
Peter Palotas,2,1954,Hungary,Budapest,Hungary,0.0,0.0
Gabor Poloskei,2,1982,Hungary,Mosonmagyaróvár,Hungary,0.0,0.0
Pal Titkos,2,1938,Hungary,Budapest,Hungary,0.0,0.0
Dino Baggio,2,1994-1998,Italy,Camposampiero,Italy,0.0,0.0
Romeo Benetti,2,1974-1978,Italy,Albaredo d'Adige,Italy,0.0,0.0
Roberto Bettega,2,1978,Italy,Turin,Italy,0.0,0.0
Roberto Boninsegna,2,1970,Italy,Mantua,Italy,0.0,0.0
Giacomo Bulgarelli,2,1962-1966,Italy,Medicina,Italy,0.0,0.0
Riccardo Carapellese,2,1950,Italy,Cerignola,Italy,0.0,0.0
Alessandro Del Piero,2,1998-2002-2006,Italy,Conegliano,Italy,0.0,0.0
Giovanni Ferrari,2,1934-1938,Italy,Alessandria,Italy,0.0,0.0
Vincenzo Iaquinta,2,2006-2010,Italy,Cutro,Italy,0.0,0.0
Marco Materazzi,2,2002-2006,Italy,Lecce,Italy,0.0,0.0
Egisto Pandolfini,2,1950-1954,Italy,Lastra a Signa,Italy,0.0,0.0
Marco Tardelli,2,1978-1982,Italy,Capanne di Careggine,Italy,0.0,0.0
Luca Toni,2,2006,Italy,Pavullo nel Frignano,Italy,0.0,0.0
Theodore Whitmore,2,1998,Jamaica,Montego Bay,Jamaica,0.0,0.0
Junichi Inamoto,2,2002-2006-2010,Japan,Kagoshima Prefecture,Japan,0.0,0.0
Alberto Garcia Aspe,2,1994-1998-2002,Mexico,Mexico City,Mexico,0.0,0.0
Jared Borgetti,2,2002-2006,Mexico,Culiacán,Mexico,0.0,0.0
Omar Bravo,2,2006,Mexico,Los Mochis,Mexico,0.0,0.0
Luis Garcia,2,1994,Mexico,Mexico City,Mexico,0.0,0.0
Ricardo Pelaez,2,1994-1998,Mexico,Mexico City,Mexico,0.0,0.0
Fernando Quirarte,2,1986,Mexico,Guadalajara,Mexico,0.0,0.0
Manuel Rosas,2,1930,Mexico,Mexico City,Mexico,0.0,0.0
Javier Valdivia,2,1970,Mexico,Guadalajara,Mexico,0.0,0.0
Salaheddine Bassir,2,1998,Morocco,Casablanca,Morocco,0.0,0.0
Abdeljalil Hadda,2,1998,Morocco,Meknes,Morocco,0.0,0.0
Abdelrazzak Khairi,2,1986,Morocco,Rabat,Morocco,0.0,0.0
Ernie Brandts,2,1978,Netherlands,Nieuw-Dijk,Netherlands,0.0,0.0
Phillip Cocu,2,1998-2006,Netherlands,Eindhoven,Netherlands,0.0,0.0
Ronald De Boer,2,1994-1998,Netherlands,Hoorn,Netherlands,0.0,0.0
Arie Haan,2,1974-1978,Netherlands,Finsterwolde,Netherlands,0.0,0.0
Klaas Jan Huntelaar,2,2010-2014,Netherlands,Voor-Drempt,Netherlands,0.0,0.0
Wim Jonk,2,1994-1998,Netherlands,Volendam,Netherlands,0.0,0.0
Patrick Kluivert,2,1998,Netherlands,Amsterdam,Netherlands,0.0,0.0
Daniel Amokachi,2,1994-1998,Nigeria,Kaduna,Nigeria,0.0,0.0
Emmanuel Amunike,2,1994,Nigeria,Eziobodo,Nigeria,0.0,0.0
Kalu Uche,2,2010,Nigeria,Aba - Abia,Nigeria,0.0,0.0
Pak Seung Zin,2,1966,North Korea,Wonsan,North Korea,0.0,0.0
Billy Hamilton,2,1982-1986,Northern Ireland,Gilnahirk,Northern Ireland,0.0,0.0
Kjetil Rekdal,2,1994-1998,Norway,Molde,Norway,0.0,0.0
Juan Aguero,2,1958,Paraguay,Caacupé,Paraguay,0.0,0.0
Florencio Amarilla,2,1958,Paraguay,Coronel Bogado,Argentina,0.0,0.0
Roberto Cabanas,2,1986,Paraguay,Pilar,Paraguay,0.0,0.0
Jose Parodi,2,1958,Paraguay,Luque,Paraguay,0.0,0.0
Julio Cesar Romero,2,1986,Paraguay,Luque,Paraguay,0.0,0.0
Jorge Romero,2,1958,Paraguay,Luque,Paraguay,0.0,0.0
Alberto Gallardo,2,1970,Peru,Lima,Peru,0.0,0.0
Wlodimierz Smolarek,2,1982-1986,Poland,Aleksandrów ?ódzki,Poland,0.0,0.0
Maniche,2,2006,Portugal,Lisbon,Portugal,0.0,0.0
Simao,2,2006-2010,Portugal,Constantim,Portugal,0.0,0.0
Tiago,2,2006-2010,Portugal,Viana do Castelo,Portugal,0.0,0.0
Silviu Bindea,2,1934-1938,Romania,Blaj,Romania,0.0,0.0
?tefan Dobay,2,1934-1938,Romania,Dumbr?vi?a,Romania,0.0,0.0
Florea Dumitrache,2,1970,Romania,Bucharest,Romania,0.0,0.0
Ilie Dumitrescu,2,1994-1998,Romania,Bucharest,Romania,0.0,0.0
Dan Petrescu,2,1994-1998,Romania,Bucharest,Romania,0.0,0.0
Fuad Amin,2,1994-1998,Saudi Arabia,Riyadh,Saudi Arabia,0.0,0.0
Kenny Dalglish,2,1974-1978-1982,Scotland,Glasgow,United Kingdom,0.0,0.0
Archie Gemmill,2,1978,Scotland,Paisley,United Kingdom,0.0,0.0
John Wark,2,1982,Scotland,Glasgow,United Kingdom,0.0,0.0
Henri Camara,2,2002,Senegal,Dakar,Senegal,0.0,0.0
Shaun Bartlett,2,1998,South Africa,Cape Town,South Africa,0.0,0.0
Benny Mccarthy,2,1998-2002,South Africa,Cape Town,South Africa,0.0,0.0
Hong Myung Bo,2,1990-1994-1998-2002,South Korea,Seoul,South Korea,0.0,0.0
Hwang Sun Hong,2,1990-1994-2002,South Korea,Yesan,Sierra Leone,0.0,0.0
Lee Chung Yong,2,2010,South Korea,Seoul,South Korea,0.0,0.0
Lee Jung Soo,2,2010,South Korea,Gimhae,South Korea,0.0,0.0
Yoo Sang Chul,2,1998-2002,South Korea,Seoul,South Korea,0.0,0.0
Xabi Alonso,2,2006-2010-2014,Spain,Tolosa,Spain,0.0,0.0
Ramon Maria Caldere,2,1986,Spain,Vila,Spain,0.0,0.0
Luis Enrique,2,1994-1998-2002,Spain,Gijón,Spain,0.0,0.0
Andres Iniesta,2,2006-2010,Spain,Fuentealbilla,Spain,0.0,0.0
Jose Iraragorri,2,1934,Spain,Basauri,Spain,0.0,0.0
Sune Andersson,2,1950,Sweden,Södertälje,Sweden,0.0,0.0
Andreas Granqvist,2,2018,Sweden,Påarp,Sweden,0.0,0.0
Hans Jeppsson,2,1950,Sweden,Kungsbacka,Sweden,0.0,0.0
Nils Liedholm,2,1958,Sweden,Valdemarsvik,Sweden,0.0,0.0
Roland Sandberg,2,1974,Sweden,Karlskrona,Sweden,0.0,0.0
Blerim Dzemaili,2,2014-2018,Switzerland,Tetovo,North Macedonia,0.0,0.0
Alexander Frei,2,2006-2010,Switzerland,Basel,Switzerland,0.0,0.0
Adrian Knup,2,1994,Switzerland,Liestal,Switzerland,0.0,0.0
Granit Xhaka,2,2014-2018,Switzerland,Basel,Switzerland,0.0,0.0
Umit Davala,2,2002,Turkey,Mannheim,Germany,0.0,0.0
Lefter Kucukandonyadis,2,1954,Turkey,Büyükada,Turkey,0.0,0.0
Andriy Shevchenko,2,2006,Ukraine,Dvirkivshchyna,Ukraine,0.0,0.0
Julio Abbadie,2,1954,Uruguay,Montevideo,Uruguay,0.0,0.0
Hector Castro,2,1930,Uruguay,Montevideo,Uruguay,0.0,0.0
Luis Cubilla,2,1962-1970-1974,Uruguay,Paysandú,Uruguay,0.0,0.0
Pablo Dorado,2,1930,Uruguay,Montevideo,Uruguay,0.0,0.0
Santos Iriarte,2,1930,Uruguay,Canelones,Uruguay,0.0,0.0
Jose Sasia,2,1962,Uruguay,Treinta y Tres,Uruguay,0.0,0.0
Obdulio Varela,2,1950-1954,Uruguay,Montevideo,Uruguay,0.0,0.0
Bart Mcghee,2,1930,USA,Edinburgh,United Kingdom,0.0,0.0
John Souza,2,1950,USA,Fall River,United States,0.0,0.0
Anatoli Ilyin,2,1958,USSR,Moscow,Russia,0.0,0.0
Viktor Ponedelnik,2,1962,USSR,Rostov-on-Don,Russia,0.0,0.0
Ivan Yaremchuk,2,1986,USSR,Velykyy Bychkiv,Ukraine,0.0,0.0
Aleksandr Zavarov,2,1986-1990,USSR,Luhansk,Ukraine,0.0,0.0
Ivor Allchurch,2,1958,Wales,Swansea,United Kingdom,0.0,0.0
Zeljko Cajkovski,2,1950,Yugoslavia,Zagreb,Croatia,0.0,0.0
Davor Jozic,2,1990,Yugoslavia,Konjic,Bosnia and Herzegovina,0.0,0.0
Stanislav Karasi,2,1974,Yugoslavia,Belgrade,Serbia,0.0,0.0
Slobodan Komljenovic,2,1998,Yugoslavia,Frankfurt,Germany,0.0,0.0
Darko Pancev,2,1990,Yugoslavia,Skopje,North Macedonia,0.0,0.0
Aleksandar Petakovic,2,1958,Yugoslavia,Belgrade,Serbia,0.0,0.0
Ivica Surjak,2,1974-1982,Yugoslavia,Split,Croatia,0.0,0.0
Kosta Tomasevic,2,1950,Yugoslavia,Stari Banovci,Serbia,0.0,0.0
Michy Batshuayi,2,2018-2022,Belgium,Brussels,Belgium,0.0,0.0
Daley Blind,2,2014-2022,Netherlands,Amsterdam,Netherlands,0.0,0.0
Pepe,2,2018-2022,Portugal,Maceió,Brazil,0.0,0.0
Youssef En-Nesyri,2,2022,Morocco ,Fez,Morocco,0.0,0.0
Wout Weghorst,2,2022,Netherlands ,Borne,Netherlands,0.0,0.0
Bruno Fernandes,2,2022,Portugal,Maia,Portugal,0.0,0.0
Rafael Leao,2,2022,Portugal,Almada,Portugal,0.0,0.0
Robert Lewandowski,2,2022,Poland,Warsaw,Poland,0.0,0.0
Ritsu Doan,2,2022,Japan,Amagasaki,Japan,0.0,0.0
Ferran Torres,2,2022,Spain,Foios,Spain,0.0,0.0
Breel Embolo,2,2022,Switzerland,Yaoundé,Cameroon,0.0,0.0
Mehdi Taremi,2,2022,Iran,Bushehr,Iran,0.0,0.0
Salem Al-Dawsari,2,2022,Saudi Arabia,Wadi ad-Dawasir,Saudi Arabia,0.0,0.0
Kai Havertz,2,2022,Germany,Aachen,Germany,0.0,0.0
Niclas Fullkrug,2,2022,Germany,Hanover,Germany,0.0,0.0
Vincent Aboubakar,2,2022,Cameroon,Garoua,Cameroon,0.0,0.0
Aleksandr Mitrovic,2,2022,Serbia,Smederevo,Serbia,0.0,0.0
Mohammed Kudus,2,2022,Ghana,Nima,Ghana,0.0,0.0
Goikoetxea,1,1986,Spain,Alonsotegi,Spain,0.0,0.0
Lakhdar Belloumi,1,1982-1986,Algeria,Mascara,Algeria,0.0,0.0
Tedj Bensaoula,1,1982,Algeria,Tessala,Algeria,0.0,0.0
Yacine Brahimi,1,2014,Algeria,Paris,France,0.0,0.0
Sofiane Feghouli,1,2014,Algeria,Levallois-Perret,France,0.0,0.0
Rafik Halliche,1,2014,Algeria,Algiers,Algeria,0.0,0.0
Rabah Madjer,1,1982-1986,Algeria,Hussein Dey District,Algeria,0.0,0.0
Djamel Zidane,1,1982-1986,Algeria,Algiers,Algeria,0.0,0.0
Flavio Amado,1,2006,Angola,Luanda,Angola,0.0,0.0
Osvaldo Ardiles,1,1978-1982,Argentina,Córdoba,Argentina,0.0,0.0
Ludovico Avio,1,1958,Argentina,Argentina,Argentina,0.0,0.0
Ruben Ayala,1,1974,Argentina,Santa Fe Province,Peru,0.0,0.0
Roberto Ayala,1,1998-2006,Argentina,Paraná,Argentina,0.0,0.0
Carlos Babington,1,1974,Argentina,Buenos Aires,Argentina,0.0,0.0
Abel Balbo,1,1990-1994,Argentina,Empalme Villa Constitución,Argentina,0.0,0.0
Ernesto Belis,1,1934,Argentina,Argentina,Argentina,0.0,0.0
Miguel Brindisi,1,1974,Argentina,Buenos Aires,Argentina,0.0,0.0
Jose Brown,1,1986,Argentina,Ranchos,Argentina,0.0,0.0
Esteban Cambiasso,1,2006,Argentina,Buenos Aires,Argentina,0.0,0.0
Martin Demichelis,1,2010,Argentina,Justiniano Posse,Argentina,0.0,0.0
Ramon Diaz,1,1982,Argentina,La Rioja,Argentina,0.0,0.0
Mario Evaristo,1,1930,Argentina,Buenos Aires,Argentina,0.0,0.0
Hector Facundo,1,1962,Argentina,Buenos Aires,Argentina,0.0,0.0
Alberto Galateo,1,1934,Argentina,NULL,Argentina,0.0,0.0
Gabriel Heinze,1,2006-2010,Argentina,Crespo,Argentina,0.0,0.0
Ramon Heredia,1,1974,Argentina,Córdoba,Argentina,0.0,0.0
Claudio Lopez,1,1998-2002,Argentina,Río Tercero,Argentina,0.0,0.0
Norberto Menendez,1,1958,Argentina,Buenos Aires,Argentina,0.0,0.0
Gabriel Mercado,1,2018,Argentina,Puerto Madryn,Argentina,0.0,0.0
Pedro Monzon,1,1990,Argentina,Goya,Argentina,0.0,0.0
Erminio Onega,1,1966,Argentina,Las Parejas,Argentina,0.0,0.0
Martin Palermo,1,2010,Argentina,La Plata,Argentina,0.0,0.0
Pedro Pasculli,1,1986,Argentina,Santa Fe,Argentina,0.0,0.0
Mauricio Pineda,1,1998,Argentina,Buenos Aires,Argentina,0.0,0.0
Oscar Ruggeri,1,1986-1990-1994,Argentina,Rosario,Argentina,0.0,0.0
Jose Sanfilippo,1,1962,Argentina,Buenos Aires,Argentina,0.0,0.0
Javier Saviola,1,2006,Argentina,Buenos Aires,Argentina,0.0,0.0
Alejandro Scopelli,1,1930,Argentina,La Plata,Argentina,0.0,0.0
Alberto Tarantini,1,1978-1982,Argentina,Ezeiza,Argentina,0.0,0.0
Pedro Troglio,1,1990,Argentina,Buenos Aires,Argentina,0.0,0.0
Francisco Varallo,1,1930,Argentina,La Plata,Argentina,0.0,0.0
Javier Zanetti,1,1998-2002,Argentina,Buenos Aires,Argentina,0.0,0.0
John Aloisi,1,2006,Australia,Adelaide,Australia,0.0,0.0
Harry Kewell,1,2006-2010,Australia,Sydney,Australia,0.0,0.0
Craig Moore,1,2006-2010,Australia,Sydney,Australia,0.0,0.0
Pepi Bican,1,1934,Austria,Vienna,Austria,0.0,0.0
Andreas Herzog,1,1990-1998,Austria,Vienna,Austria,0.0,0.0
Reinhold Hintermaier,1,1982,Austria,Altheim,Austria,0.0,0.0
Karl Koller,1,1954-1958,Austria,Matzendorf-Hölles,Austria,0.0,0.0
Alfred Korner,1,1954-1958,Austria,Vienna,Austria,0.0,0.0
Erich Obermayer,1,1978-1982,Austria,Vienna,Austria,0.0,0.0
Andeas Ogris,1,1990,Austria,Vienna,Austria,0.0,0.0
Bruno Pezzey,1,1978-1982,Austria,Lauterach,Germany,0.0,0.0
Toni Polster,1,1990-1998,Austria,Vienna,Austria,0.0,0.0
Gerhard Rodax,1,1990,Austria,Tattendorf,Austria,0.0,0.0
Toni Schall,1,1934,Austria,Vienna,Austria,0.0,0.0
Karl Sesta,1,1934,Austria,Simmering,Austria,0.0,0.0
Matthias Sindelar,1,1934,Austria,Kozlov,Czechia,0.0,0.0
Ivica Vastic,1,1998,Austria,Split,Croatia,0.0,0.0
Karl Zischek,1,1934,Austria,NULL,Austria,0.0,0.0
Nacer Chadli,1,2018,Belgium,Liège,Belgium,0.0,0.0
Leo Clijsters,1,1990,Belgium,Bree,Belgium,0.0,0.0
Ludo Coeck,1,1982,Belgium,Berchem,Belgium,0.0,0.0
Henri Coppens,1,1954,Belgium,Antwerp,Belgium,0.0,0.0
Alex Czerniatynski,1,1982,Belgium,Charleroi,Belgium,0.0,0.0
Michel De Wolf,1,1986-1990-1994,Belgium,Nivelles,Belgium,0.0,0.0
Stephane Demol,1,1986-1990,Belgium,Watermael-Boitsfort,Belgium,0.0,0.0
Georges Grun,1,1986-1990-1994,Belgium,Schaerbeek,Belgium,0.0,0.0
Henri Isemborghs,1,1938,Belgium,Antwerp,Belgium,0.0,0.0
Adnan Januzaj,1,2018,Belgium,Brussels,Belgium,0.0,0.0
Thomas Meunier,1,2018,Belgium,Sainte-Ode,Belgium,0.0,0.0
Luc Nilis,1,1994-1998,Belgium,Hasselt,Belgium,0.0,0.0
Divock Origi,1,2014,Belgium,Ostend,Belgium,0.0,0.0
Wesley Sonck,1,2002,Belgium,Ninove,Belgium,0.0,0.0
Peter Van Der Heyden,1,2002,Belgium,Aalst,Belgium,0.0,0.0
Erwin Vandenbergh,1,1982-1986,Belgium,Ramsel,Belgium,0.0,0.0
Frank Vercauteren,1,1982-1986,Belgium,Sint-Jans-Molenbeek,Belgium,0.0,0.0
Patrick Vervoort,1,1986-1990,Belgium,Beerse,Belgium,0.0,0.0
Daniel Veyt,1,1986,Belgium,Baasrode,Belgium,0.0,0.0
Johan Walem,1,2002,Belgium,Soignies,Belgium,0.0,0.0
Erwin Sanchez,1,1994,Bolivia,Santa Cruz de la Sierra,Bolivia,0.0,0.0
Edin Dzeko,1,2014,Bosnia Herz,Sarajevo,Bosnia and Herzegovina,0.0,0.0
Vedad Ibisevic,1,2014,Bosnia Herz,Vlasenica,Bosnia and Herzegovina,0.0,0.0
Miralem Pjanic,1,2014,Bosnia Herz,Tuzla,Bosnia and Herzegovina,0.0,0.0
Carlos Alberto Torres,1,1970,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Alfredo ii,1,1950,Brazil,Jacareí,Brazil,0.0,0.0
Renato Augusto,1,2018,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Jose Oscar Bernardi,1,1978-1982,Brazil,Monte Siao,Brazil,0.0,0.0
Branco,1,1986-1990-1994,Brazil,Bagé,Brazil,0.0,0.0
Roberto Carlos,1,1998-2002-2006,Brazil,Garça,Brazil,0.0,0.0
Clodoaldo,1,1970,Brazil,Aracaju,Brazil,0.0,0.0
Edinho,1,1978-1986,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Edmilson,1,2002,Brazil,Taquaritinga,Brazil,0.0,0.0
Fernandinho,1,2014,Brazil,Londrina,Brazil,0.0,0.0
Roberto Firmino,1,2018,Brazil,Maceió,Brazil,0.0,0.0
Friaca,1,1950,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Gerson,1,1966-1970,Brazil,Niterói,Brazil,0.0,0.0
Juan,1,2006-2010,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Juninho Pernambucano,1,2006,Brazil,Recife,Brazil,0.0,0.0
Junior,1,2002,Brazil,Santo Antônio de Jesus,Brazil,0.0,0.0
Kaka,1,2002-2006-2010,Brazil,Gama-Federal District,Brazil,0.0,0.0
Maicon,1,2010,Brazil,Novo Hamburgo,Brazil,0.0,0.0
Maneca,1,1950,Brazil,Brazil,Brazil,0.0,0.0
Gilberto Melo,1,2006-2010,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Paulinho,1,2018,Brazil,São Paulo,Brazil,0.0,0.0
Rai,1,1994,Brazil,Ribeirao Preto,Brazil,0.0,0.0
Reinaldo,1,1978,Brazil,Ponte Nova,Brazil,0.0,0.0
Rildo,1,1966,Brazil,Recife,Brazil,0.0,0.0
Roberto,1,1938,Brazil,Niterói,Brazil,0.0,0.0
Ze Roberto,1,2006,Brazil,São Paulo,Brazil,0.0,0.0
Djalma Santos,1,1954-1958-1962-1966,Brazil,São Paulo,Brazil,0.0,0.0
Nilton Santos,1,1954-1958-1962,Brazil,Rio de Janeiro,Brazil,0.0,0.0
Marcio Santos,1,1994,Brazil,São Paulo,Brazil,0.0,0.0
Valdomiro,1,1974,Brazil,Criciúma,Brazil,0.0,0.0
Zito,1,1958-1962,Brazil,Roseira,Brazil,0.0,0.0
Daniel Borimirov,1,1994-1998,Bulgaria,Vidin,Bulgaria,0.0,0.0
Dinko Dermendzhiev,1,1962-1966-1970,Bulgaria,Plovdiv,Bulgaria,0.0,0.0
Plamen Getov,1,1986,Bulgaria,Sungurlare,Bulgaria,0.0,0.0
Todor Kolev,1,1970,Bulgaria,Veliko Tarnovo,Bulgaria,0.0,0.0
Emil Kostadinov,1,1994-1998,Bulgaria,Sofia,Bulgaria,0.0,0.0
Asparukh Nikodimov,1,1970-1974,Bulgaria,Sofia,Bulgaria,0.0,0.0
Georgi Sokolov,1,1962,Bulgaria,Sofia,Bulgaria,0.0,0.0
Dobromir Zhechev,1,1962-1970,Bulgaria,Sofia,Bulgaria,0.0,0.0
Eugene Ekeke,1,1990,Cameroon,Bonabéri,Cameroon,0.0,0.0
David Embe,1,1994,Cameroon,Yaoundé,Cameroon,0.0,0.0
Emmanuel Kunde,1,1982-1990,Cameroon,Ndom,Cameroon,0.0,0.0
Joel Matip,1,2014,Cameroon,Bochum,Germany,0.0,0.0
Gregoire Mbida,1,1982,Cameroon,Yaoundé,Cameroon,0.0,0.0
Pierre Njanka,1,1998-2002,Cameroon,Douala,Cameroon,0.0,0.0
Sergio Ahumada,1,1974,Chile,Coquimbo,Chile,0.0,0.0
Charles Aranguiz,1,2014,Chile,Puente Alto,Chile,0.0,0.0
Mark Gonzalez,1,2010,Chile,Durban,South Africa,0.0,0.0
Juan Letelier,1,1982,Chile,Valparaíso,Chile,0.0,0.0
Rodrigo Millar,1,2010,Chile,Arauco,Chile,0.0,0.0
Gustavo Moscoso,1,1982,Chile,Oficina salitrera Pedro de Valdivia,Chile,0.0,0.0
Miguel Neira,1,1982,Chile,Chiguayante,Chile,0.0,0.0
Andres Prieto,1,1950,Chile,Santiago,Costa Rica,0.0,0.0
Fernando Riera,1,1950,Chile,Santiago,Chile,0.0,0.0
Jorge Robledo,1,1950,Chile,Iquique,Chile,0.0,0.0
Jose Sierra,1,1998,Chile,Santiago,Costa Rica,0.0,0.0
Jorge Valdivia,1,2014,Chile,Maracay,Venezuela,0.0,0.0
Eduardo Vargas,1,2014,Chile,Santiago,Chile,0.0,0.0
Carlos Vidal,1,1930,Chile,NULL,Chile,0.0,0.0
German Aceros,1,1962,Colombia,Bucaramanga,Colombia,0.0,0.0
Pablo Armero,1,2014,Colombia,Tumaco,Colombia,0.0,0.0
Marcos Coll,1,1962,Colombia,Barranquilla,Colombia,0.0,0.0
Radamel Falcao,1,2018,Colombia,Santa Marta,Colombia,0.0,0.0
Herman Gaviria,1,1994,Colombia,Carepa,Colombia,0.0,0.0
Teofilo Gutierrez,1,2014,Colombia,Barranquilla,Colombia,0.0,0.0
Marino Klinger,1,1962,Colombia,Buenaventura,Colombia,0.0,0.0
Harold Lozano,1,1994-1998,Colombia,Cali,Colombia,0.0,0.0
Leider Preciado,1,1998,Colombia,Tumaco,Colombia,0.0,0.0
Antonio Rada,1,1962,Colombia,Sabanalarga,Colombia,0.0,0.0
Freddy Rincon,1,1990-1994-1998,Colombia,Buenaventura,Colombia,0.0,0.0
Carlos Valderrama,1,1990-1994-1998,Colombia,Santa Marta,Colombia,0.0,0.0
Francisco Zuluaga,1,1962,Colombia,Medellín,Colombia,0.0,0.0
Joel Campbell,1,2014,Costa Rica,San José,Costa Rica,0.0,0.0
Juan Cayasso,1,1990,Costa Rica,Limón,Costa Rica,0.0,0.0
Oscar Duarte,1,2014,Costa Rica,Catarina,Nicaragua,0.0,0.0
Roger Flores,1,1990,Costa Rica,San José,Costa Rica,0.0,0.0
Ronald Gonzalez,1,1990,Costa Rica,San José,Costa Rica,0.0,0.0
Hernan Medford,1,1990-2002,Costa Rica,San Jose Province,Costa Rica,0.0,0.0
Winston Parks,1,2002,Costa Rica,Limón,Costa Rica,0.0,0.0
Marcos Urena,1,2014,Costa Rica,San José,Costa Rica,0.0,0.0
Kendall Waston,1,2018,Costa Rica,San José,Costa Rica,0.0,0.0
Mauricio Wright,1,2002,Costa Rica,San José,Costa Rica,0.0,0.0
Bonaventure Kalou,1,2006,Côte d'Ivoire,Oumé,Côte d'Ivoire,0.0,0.0
Salomon Kalou,1,2010,Côte d'Ivoire,Oumé,Côte d'Ivoire,0.0,0.0
Bakary Kone,1,2006,Côte d'Ivoire,Abidjan,Côte d'Ivoire,0.0,0.0
Romaric,1,2006-2010,Côte d'Ivoire,Abidjan,Côte d'Ivoire,0.0,0.0
Yaya Toure,1,2006-2010,Côte d'Ivoire,Bouaké,Côte d'Ivoire,0.0,0.0
Milan Badelj,1,2018,Croatia,Zagreb,Croatia,0.0,0.0
Niko Kovac,1,2002-2006,Croatia,Wedding,Germany,0.0,0.0
Ivan Rakitic,1,2018,Croatia,Rheinfelden,Switzerland,0.0,0.0
Ante Rebic,1,2018,Croatia,Split,Croatia,0.0,0.0
Mario Stanic,1,1998-2002,Croatia,Sarajevo,Bosnia and Herzegovina,0.0,0.0
Tomas Fernandez,1,1938,Cuba,NULL,Spain,0.0,0.0
Carlos Oliveira,1,1938,Cuba,NULL,Cuba,0.0,0.0
Juan Tunas,1,1938,Cuba,Havana,Cuba,0.0,0.0
Lubos Kubik,1,1990,Czech,Vysoké Mýto,Czechia,0.0,0.0
Vaclav Masek,1,1962,Czech,Prague,Czechia,0.0,0.0
Josef Masopust,1,1958-1962,Czech,Most,Czech Republic,0.0,0.0
Josef Stibranyi,1,1962,Czech,Vl?kovce,Slovakia,0.0,0.0
