Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Bastian Schweinsteiger,2,2006-2010,Germany,Kolbermoor,,0.0,0.0
Joachim Streich,2,1974,Germany,Wismar,,0.0,0.0
Sulley Muntari,2,2006-2010,Ghana,Konongo - Ghana,,0.0,0.0
Emmanuel Sanon,2,1974,Haiti,Port-au-Prince,,0.0,0.0
Laszlo Fazekas,2,1978-1982,Hungary,Budapest,,0.0,0.0
Mihaly Lantos,2,1954,Hungary,Budapest,,0.0,0.0
Kalman Meszoly,2,1962-1966,Hungary,Budapest,,0.0,0.0
Tibor Nyilasi,2,1978-1982,Hungary,Várpalota,,0.0,0.0
Peter Palotas,2,1954,Hungary,Budapest,,0.0,0.0
Gabor Poloskei,2,1982,Hungary,Mosonmagyaróvár,,0.0,0.0
Pal Titkos,2,1938,Hungary,Budapest,,0.0,0.0
Dino Baggio,2,1994-1998,Italy,Camposampiero,,0.0,0.0
Romeo Benetti,2,1974-1978,Italy,Albaredo d'Adige,,0.0,0.0
Roberto Bettega,2,1978,Italy,Turin,,0.0,0.0
Roberto Boninsegna,2,1970,Italy,Mantua,,0.0,0.0
Giacomo Bulgarelli,2,1962-1966,Italy,Medicina,,0.0,0.0
Riccardo Carapellese,2,1950,Italy,Cerignola,,0.0,0.0
Alessandro Del Piero,2,1998-2002-2006,Italy,Conegliano,,0.0,0.0
Giovanni Ferrari,2,1934-1938,Italy,Alessandria,,0.0,0.0
Vincenzo Iaquinta,2,2006-2010,Italy,Cutro,,0.0,0.0
Marco Materazzi,2,2002-2006,Italy,Lecce,,0.0,0.0
Egisto Pandolfini,2,1950-1954,Italy,Lastra a Signa,,0.0,0.0
Marco Tardelli,2,1978-1982,Italy,Capanne di Careggine,,0.0,0.0
Luca Toni,2,2006,Italy,Pavullo nel Frignano,,0.0,0.0
Theodore Whitmore,2,1998,Jamaica,Montego Bay,,0.0,0.0
Junichi Inamoto,2,2002-2006-2010,Japan,Kagoshima Prefecture,,0.0,0.0
Alberto Garcia Aspe,2,1994-1998-2002,Mexico,Mexico City,,0.0,0.0
Jared Borgetti,2,2002-2006,Mexico,Culiacán,,0.0,0.0
Omar Bravo,2,2006,Mexico,Los Mochis,,0.0,0.0
Luis Garcia,2,1994,Mexico,Mexico City,,0.0,0.0
Ricardo Pelaez,2,1994-1998,Mexico,Mexico City,,0.0,0.0
Fernando Quirarte,2,1986,Mexico,Guadalajara,,0.0,0.0
Manuel Rosas,2,1930,Mexico,Mexico City,,0.0,0.0
Javier Valdivia,2,1970,Mexico,Guadalajara,,0.0,0.0
Salaheddine Bassir,2,1998,Morocco,Casablanca,,0.0,0.0
Abdeljalil Hadda,2,1998,Morocco,Meknes,,0.0,0.0
Abdelrazzak Khairi,2,1986,Morocco,Rabat,,0.0,0.0
Ernie Brandts,2,1978,Netherlands,Nieuw-Dijk,,0.0,0.0
Phillip Cocu,2,1998-2006,Netherlands,Eindhoven,,0.0,0.0
Ronald De Boer,2,1994-1998,Netherlands,Hoorn,,0.0,0.0
Arie Haan,2,1974-1978,Netherlands,Finsterwolde,,0.0,0.0
Klaas Jan Huntelaar,2,2010-2014,Netherlands,Voor-Drempt,,0.0,0.0
Wim Jonk,2,1994-1998,Netherlands,Volendam,,0.0,0.0
Patrick Kluivert,2,1998,Netherlands,Amsterdam,,0.0,0.0
Daniel Amokachi,2,1994-1998,Nigeria,Kaduna,,0.0,0.0
Emmanuel Amunike,2,1994,Nigeria,Eziobodo,,0.0,0.0
Kalu Uche,2,2010,Nigeria,Aba - Abia,,0.0,0.0
Pak Seung Zin,2,1966,North Korea,Wonsan,,0.0,0.0
Billy Hamilton,2,1982-1986,Northern Ireland,Subdivisions of Belfast,,0.0,0.0
Kjetil Rekdal,2,1994-1998,Norway,Molde,,0.0,0.0
Juan Aguero,2,1958,Paraguay,Caacupé,,0.0,0.0
Florencio Amarilla,2,1958,Paraguay,Coronel Bogado,,0.0,0.0
Roberto Cabanas,2,1986,Paraguay,Pilar - Paraguay,,0.0,0.0
Jose Parodi,2,1958,Paraguay,Luque,,0.0,0.0
Julio Cesar Romero,2,1986,Paraguay,Luque,,0.0,0.0
Jorge Romero,2,1958,Paraguay,Luque,,0.0,0.0
Alberto Gallardo,2,1970,Peru,Lima,,0.0,0.0
Wlodimierz Smolarek,2,1982-1986,Poland,Aleksandrów ?ódzki,,0.0,0.0
Maniche,2,2006,Portugal,Lisbon,,0.0,0.0
Simao,2,2006-2010,Portugal,Constantim,,0.0,0.0
Tiago,2,2006-2010,Portugal,Viana do Castelo,,0.0,0.0
Silviu Bindea,2,1934-1938,Romania,Blaj,,0.0,0.0
Stefan Dobai,2,1934-1938,Romania,Dumbr?vi?a,,0.0,0.0
Florea Dumitrache,2,1970,Romania,Bucharest,,0.0,0.0
Ilie Dumitrescu,2,1994-1998,Romania,Bucharest,,0.0,0.0
Dan Petrescu,2,1994-1998,Romania,Bucharest,,0.0,0.0
Fuad Amin,2,1994-1998,Saudi Arabia,Riyadh,,0.0,0.0
Kenny Dalglish,2,1974-1978-1982,Scotland,Glasgow,,0.0,0.0
Archie Gemmill,2,1978,Scotland,Paisley - Renfrewshire,,0.0,0.0
John Wark,2,1982,Scotland,Glasgow,,0.0,0.0
Henri Camara,2,2002,Senegal,Dakar,,0.0,0.0
Shaun Bartlett,2,1998,South Africa,Cape Town,,0.0,0.0
Benny Mccarthy,2,1998-2002,South Africa,Cape Town,,0.0,0.0
Hong Myung Bo,2,1990-1994-1998-2002,South Korea,Seoul,,0.0,0.0
Hwang Sun Hong,2,1990-1994-2002,South Korea,Yesan,,0.0,0.0
Lee Chung Yong,2,2010,South Korea,Seoul,,0.0,0.0
Lee Jung Soo,2,2010,South Korea,Gimhae,,0.0,0.0
Yoo Sang Chul,2,1998-2002,South Korea,Seoul,,0.0,0.0
Xabi Alonso,2,2006-2010-2014,Spain,Tolosa - Spain,,0.0,0.0
Ramon Maria Caldere,2,1986,Spain,Vila-rodona,,0.0,0.0
Luis Enrique,2,1994-1998-2002,Spain,Gijón,,0.0,0.0
Andres Iniesta,2,2006-2010,Spain,Fuentealbilla,,0.0,0.0
Jose Iraragorri,2,1934,Spain,Basauri,,0.0,0.0
Sune Andersson,2,1950,Sweden,Södertälje,,0.0,0.0
Andreas Granqvist,2,2018,Sweden,Påarp,,0.0,0.0
Hans Jeppsson,2,1950,Sweden,Kungsbacka,,0.0,0.0
Nils Liedholm,2,1958,Sweden,Valdemarsvik,,0.0,0.0
Roland Sandberg,2,1974,Sweden,Karlskrona,,0.0,0.0
Blerim Dzemaili,2,2014-2018,Switzerland,Tetovo,,0.0,0.0
Alexander Frei,2,2006-2010,Switzerland,Basel,,0.0,0.0
Adrian Knup,2,1994,Switzerland,Liestal,,0.0,0.0
Granit Xhaka,2,2014-2018,Switzerland,Basel,,0.0,0.0
Umit Davala,2,2002,Turkey,Mannheim,,0.0,0.0
Lefter Kucukandonyadis,2,1954,Turkey,Büyükada,,0.0,0.0
Andriy Shevchenko,2,2006,Ukraine,Dvirkivshchyna,,0.0,0.0
Julio Abbadie,2,1954,Uruguay,Montevideo,,0.0,0.0
Hector Castro,2,1930,Uruguay,Montevideo,,0.0,0.0
Luis Cubilla,2,1962-1970-1974,Uruguay,Paysandú,,0.0,0.0
Pablo Dorado,2,1930,Uruguay,Montevideo,,0.0,0.0
Santos Iriarte,2,1930,Uruguay,Canelones - Uruguay,,0.0,0.0
Jose Sasia,2,1962,Uruguay,Treinta y Tres,,0.0,0.0
Obdulio Varela,2,1950-1954,Uruguay,Montevideo,,0.0,0.0
Bart Mcghee,2,1930,USA,Edinburgh,,0.0,0.0
John Souza,2,1950,USA,Fall River - Massachusetts,,0.0,0.0
Anatoli Ilyin,2,1958,USSR,Moscow,,0.0,0.0
Viktor Ponedelnik,2,1962,USSR,Rostov-on-Don,,0.0,0.0
Ivan Yaremchuk,2,1986,USSR,Velykyy Bychkiv,,0.0,0.0
Aleksandr Zavarov,2,1986-1990,USSR,Luhansk,,0.0,0.0
Ivor Allchurch,2,1958,Wales,Swansea,,0.0,0.0
Zeljko Cajkovski,2,1950,Yugoslavia,Zagreb,,0.0,0.0
Davor Jozic,2,1990,Yugoslavia,Konjic,,0.0,0.0
Stanislav Karasi,2,1974,Yugoslavia,Belgrade,,0.0,0.0
Slobodan Komljenovic,2,1998,Yugoslavia,Frankfurt,,0.0,0.0
Darko Pancev,2,1990,Yugoslavia,Skopje,,0.0,0.0
Aleksandar Petakovic,2,1958,Yugoslavia,Belgrade,,0.0,0.0
Ivica Surjak,2,1974-1982,Yugoslavia,Split (city),,0.0,0.0
Kosta Tomasevic,2,1950,Yugoslavia,Stari Banovci,,0.0,0.0
Michy Batshuayi,2,2018-2022,Belgium,Brussels,,0.0,0.0
Daley Blind,2,2014-2022,Netherlands,Amsterdam,,0.0,0.0
Pepe,2,2018-2022,Portugal,Maceió,,0.0,0.0
Youssef En-Nesyri,2,2022,Morocco ,Fez - Morocco,,0.0,0.0
Wout Weghorst,2,2022,Netherlands ,Borne - Overijssel,,0.0,0.0
Bruno Fernandes,2,2022,Portugal,Maia - Portugal,,0.0,0.0
Rafael Leao,2,2022,Portugal,Almada,,0.0,0.0
Robert Lewandowski,2,2022,Poland ,Warsaw,,0.0,0.0
Ritsu Doan,2,2022,Japan,Amagasaki,,0.0,0.0
Ferran Torres,2,2022,Spain,Foios,,0.0,0.0
Breel Embolo,2,2022,Switzerland,Yaoundé,,0.0,0.0
Mehdi Taremi,2,2022,Iran,Bushehr,,0.0,0.0
Salem Al-Dawsari,2,2022,Saudi Arabia,Wadi ad-Dawasir,,0.0,0.0
Kai Havertz,2,2022,Germany,Aachen,,0.0,0.0
Niclas Fullkrug,2,2022,Germany,Hanover,,0.0,0.0
Vincent Aboubakar,2,2022,Cameroon,Garoua,,0.0,0.0
Aleksandr Mitrovic,2,2022,Serbia,Smederevo,,0.0,0.0
Mohammed Kudus,2,2022,Ghana,Nima - Accra,,0.0,0.0
Goikoetxea,1,1986,Spain,Alonsotegi,,0.0,0.0
Lakhdar Belloumi,1,1982-1986,Algeria,Mascara - Algeria,,0.0,0.0
Tedj Bensaoula,1,1982,Algeria,Tessala,,0.0,0.0
Yacine Brahimi,1,2014,Algeria,Paris - France,,0.0,0.0
Sofiane Feghouli,1,2014,Algeria,Levallois-Perret,,0.0,0.0
Rafik Halliche,1,2014,Algeria,Algiers,,0.0,0.0
Rabah Madjer,1,1982-1986,Algeria,Hussein Dey District,,0.0,0.0
Djamel Zidane,1,1982-1986,Algeria,Algiers,,0.0,0.0
Flavio Amado,1,2006,Angola,Luanda,,0.0,0.0
Osvaldo Ardiles,1,1978-1982,Argentina,Córdoba - Argentina,,0.0,0.0
Ludovico Avio,1,1958,Argentina,Argentina,,0.0,0.0
Ruben Ayala,1,1974,Argentina,Santa Fe Province,,0.0,0.0
Roberto Ayala,1,1998-2006,Argentina,Paraná - Argentina,,0.0,0.0
Carlos Babington,1,1974,Argentina,Buenos Aires,,0.0,0.0
Abel Balbo,1,1990-1994,Argentina,Empalme Villa Constitución,,0.0,0.0
Ernesto Belis,1,1934,Argentina,Argentina,,0.0,0.0
Miguel Brindisi,1,1974,Argentina,Buenos Aires,,0.0,0.0
Jose Brown,1,1986,Argentina,Ranchos-Buenos Aires,,0.0,0.0
Esteban Cambiasso,1,2006,Argentina,Buenos Aires,,0.0,0.0
Martin Demichelis,1,2010,Argentina,Justiniano Posse - Argentina,,0.0,0.0
Ramon Diaz,1,1982,Argentina,La Rioja - Argentina,,0.0,0.0
Mario Evaristo,1,1930,Argentina,Buenos Aires,,0.0,0.0
Hector Facundo,1,1962,Argentina,Buenos Aires,,0.0,0.0
Alberto Galateo,1,1934,Argentina,Argentina,,0.0,0.0
Gabriel Heinze,1,2006-2010,Argentina,Crespo - Entre Ríos,,0.0,0.0
Ramon Heredia,1,1974,Argentina,Córdoba - Argentina,,0.0,0.0
Claudio Lopez,1,1998-2002,Argentina,Río Tercero,,0.0,0.0
Norberto Menendez,1,1958,Argentina,Buenos Aires,,0.0,0.0
Gabriel Mercado,1,2018,Argentina,Puerto Madryn,,0.0,0.0
Pedro Monzon,1,1990,Argentina,Goya - Corrientes,,0.0,0.0
Erminio Onega,1,1966,Argentina,Las Parejas,,0.0,0.0
Martin Palermo,1,2010,Argentina,La Plata,,0.0,0.0
Pedro Pasculli,1,1986,Argentina,Santa Fe - Argentina,,0.0,0.0
Mauricio Pineda,1,1998,Argentina,Buenos Aires,,0.0,0.0
Oscar Ruggeri,1,1986-1990-1994,Argentina,Rosario,,0.0,0.0
Jose Sanfilippo,1,1962,Argentina,Buenos Aires,,0.0,0.0
Javier Saviola,1,2006,Argentina,Buenos Aires,,0.0,0.0
Alejandro Scopelli,1,1930,Argentina,La Plata,,0.0,0.0
Alberto Tarantini,1,1978-1982,Argentina,Ezeiza - Buenos Aires,,0.0,0.0
Pedro Troglio,1,1990,Argentina,Buenos Aires,,0.0,0.0
Francisco Varallo,1,1930,Argentina,La Plata,,0.0,0.0
Javier Zanetti,1,1998-2002,Argentina,Buenos Aires,,0.0,0.0
John Aloisi,1,2006,Australia,Adelaide,,0.0,0.0
Harry Kewell,1,2006-2010,Australia,Sydney,,0.0,0.0
Craig Moore,1,2006-2010,Australia,Sydney,,0.0,0.0
Pepi Bican,1,1934,Austria,Vienna,,0.0,0.0
Andreas Herzog,1,1990-1998,Austria,Vienna,,0.0,0.0
Reinhold Hintermaier,1,1982,Austria,Altheim - Austria,,0.0,0.0
Karl Koller,1,1954-1958,Austria,Matzendorf-Hölles,,0.0,0.0
Alfred Korner,1,1954-1958,Austria,Vienna - Austria,,0.0,0.0
Erich Obermayer,1,1978-1982,Austria,Vienna,,0.0,0.0
Andeas Ogris,1,1990,Austria,Vienna,,0.0,0.0
Bruno Pezzey,1,1978-1982,Austria,Lauterach,,0.0,0.0
Toni Polster,1,1990-1998,Austria,Vienna,,0.0,0.0
Gerhard Rodax,1,1990,Austria,Tattendorf,,0.0,0.0
Toni Schall,1,1934,Austria,Vienna,,0.0,0.0
Karl Sesta,1,1934,Austria,Simmering (Vienna),,0.0,0.0
Matthias Sindelar,1,1934,Austria,Kozlov (Jihlava District),,0.0,0.0
Ivica Vastic,1,1998,Austria,Split (city),,0.0,0.0
Karl Zischek,1,1934,Austria,Austria-Hungary,,0.0,0.0
Nacer Chadli,1,2018,Belgium,Liège,,0.0,0.0
Leo Clijsters,1,1990,Belgium,Bree - Belgium,,0.0,0.0
Ludo Coeck,1,1982,Belgium,Berchem,,0.0,0.0
Henri Coppens,1,1954,Belgium,Antwerp,,0.0,0.0
Alex Czerniatynski,1,1982,Belgium,Charleroi,,0.0,0.0
Michel De Wolf,1,1986-1990-1994,Belgium,Nivelles,,0.0,0.0
Stephane Demol,1,1986-1990,Belgium,Watermael-Boitsfort,,0.0,0.0
Georges Grun,1,1986-1990-1994,Belgium,Schaerbeek,,0.0,0.0
Henri Isemborghs,1,1938,Belgium,Antwerp,,0.0,0.0
Adnan Januzaj,1,2018,Belgium,Brussels,,0.0,0.0
Thomas Meunier,1,2018,Belgium,Sainte-Ode,,0.0,0.0
Luc Nilis,1,1994-1998,Belgium,Hasselt,,0.0,0.0
Divock Origi,1,2014,Belgium,Ostend,,0.0,0.0
Wesley Sonck,1,2002,Belgium,Ninove,,0.0,0.0
Peter Van Der Heyden,1,2002,Belgium,Aalst - Belgium,,0.0,0.0
Erwin Vandenbergh,1,1982-1986,Belgium,Ramsel - Belgium,,0.0,0.0
Frank Vercauteren,1,1982-1986,Belgium,Sint-Jans-Molenbeek,,0.0,0.0
Patrick Vervoort,1,1986-1990,Belgium,Beerse,,0.0,0.0
Daniel Veyt,1,1986,Belgium,Baasrode,,0.0,0.0
Johan Walem,1,2002,Belgium,Soignies,,0.0,0.0
Erwin Sanchez,1,1994,Bolivia,Santa Cruz de la Sierra,,0.0,0.0
Edin Dzeko,1,2014,Bosnia Herz,Sarajevo,,0.0,0.0
Vedad Ibisevic,1,2014,Bosnia Herz,Vlasenica,,0.0,0.0
Miralem Pjanic,1,2014,Bosnia Herz,Tuzla,,0.0,0.0
Carlos Alberto Torres,1,1970,Brazil,Rio de Janeiro,,0.0,0.0
Alfredo ii,1,1950,Brazil,Jacareí,,0.0,0.0
Renato Augusto,1,2018,Brazil,Rio de Janeiro,,0.0,0.0
Jose Oscar Bernardi,1,1978-1982,Brazil,Monte Siao - Brazil,,0.0,0.0
Branco,1,1986-1990-1994,Brazil,Bagé,,0.0,0.0
Roberto Carlos,1,1998-2002-2006,Brazil,Garça,,0.0,0.0
Clodoaldo,1,1970,Brazil,Aracaju,,0.0,0.0
Edinho,1,1978-1986,Brazil,Rio de Janeiro,,0.0,0.0
Edmilson,1,2002,Brazil,Taquaritinga,,0.0,0.0
Fernandinho,1,2014,Brazil,Londrina,,0.0,0.0
Roberto Firmino,1,2018,Brazil,Maceió,,0.0,0.0
Friaca,1,1950,Brazil,Rio de Janeiro,,0.0,0.0
Gerson,1,1966-1970,Brazil,Niterói,,0.0,0.0
Juan,1,2006-2010,Brazil,Rio de Janeiro,,0.0,0.0
Juninho Pernambucano,1,2006,Brazil,Recife,,0.0,0.0
Junior,1,2002,Brazil,Santo Antônio de Jesus,,0.0,0.0
Kaka,1,2002-2006-2010,Brazil,Gama-Federal District,,0.0,0.0
Maicon,1,2010,Brazil,Novo Hamburgo,,0.0,0.0
Maneca,1,1950,Brazil,Brazil,,0.0,0.0
Gilberto Melo,1,2006-2010,Brazil,Rio de Janeiro,,0.0,0.0
Paulinho,1,2018,Brazil,São Paulo,,0.0,0.0
Rai,1,1994,Brazil,Ribeirao Preto,,0.0,0.0
Reinaldo,1,1978,Brazil,Ponte Nova,,0.0,0.0
Rildo,1,1966,Brazil,Recife,,0.0,0.0
Roberto,1,1938,Brazil,Niterói,,0.0,0.0
Ze Roberto,1,2006,Brazil,São Paulo,,0.0,0.0
Djalma Santos,1,1954-1958-1962-1966,Brazil,São Paulo,,0.0,0.0
Nilton Santos,1,1954-1958-1962,Brazil,Rio de Janeiro,,0.0,0.0
Marcio Santos,1,1994,Brazil,São Paulo,,0.0,0.0
Valdomiro,1,1974,Brazil,Criciúma,,0.0,0.0
Zito,1,1958-1962,Brazil,Roseira,,0.0,0.0
Daniel Borimirov,1,1994-1998,Bulgaria,Vidin,,0.0,0.0
Dinko Dermendzhiev,1,1962-1966-1970,Bulgaria,Plovdiv,,0.0,0.0
Plamen Getov,1,1986,Bulgaria,Sungurlare,,0.0,0.0
Todor Kolev,1,1970,Bulgaria,Veliko Tarnovo,,0.0,0.0
Emil Kostadinov,1,1994-1998,Bulgaria,Sofia,,0.0,0.0
Asparukh Nikodimov,1,1970-1974,Bulgaria,Sofia Province,,0.0,0.0
Georgi Sokolov,1,1962,Bulgaria,Sofia - Bulgaria,,0.0,0.0
Dobromir Zhechev,1,1962-1970,Bulgaria,Sofia,,0.0,0.0
Eugene Ekeke,1,1990,Cameroon,Bonabéri,,0.0,0.0
David Embe,1,1994,Cameroon,Yaoundé,,0.0,0.0
Emmanuel Kunde,1,1982-1990,Cameroon,Ndom - Cameroon,,0.0,0.0
Joel Matip,1,2014,Cameroon,Bochum,,0.0,0.0
Gregoire Mbida,1,1982,Cameroon,Yaoundé,,0.0,0.0
Pierre Njanka,1,1998-2002,Cameroon,Douala,,0.0,0.0
Sergio Ahumada,1,1974,Chile,Coquimbo,,0.0,0.0
Charles Aranguiz,1,2014,Chile,Puente Alto,,0.0,0.0
Mark Gonzalez,1,2010,Chile,Durban,,0.0,0.0
Juan Letelier,1,1982,Chile,Valparaíso,,0.0,0.0
Rodrigo Millar,1,2010,Chile,Arauco - Chile,,0.0,0.0
Gustavo Moscoso,1,1982,Chile,Oficina salitrera Pedro de Valdivia - Chile,,0.0,0.0
Miguel Neira,1,1982,Chile,Chiguayante,,0.0,0.0
Andres Prieto,1,1950,Chile,Santiago,,0.0,0.0
Fernando Riera,1,1950,Chile,Santiago - Chile,,0.0,0.0
Jorge Robledo,1,1950,Chile,Iquique,,0.0,0.0
Jose Sierra,1,1998,Chile,Santiago,,0.0,0.0
Jorge Valdivia,1,2014,Chile,Maracay,,0.0,0.0
Eduardo Vargas,1,2014,Chile,Santiago - Chile,,0.0,0.0
Carlos Vidal,1,1930,Chile,Chile,,0.0,0.0
German Aceros,1,1962,Colombia,Bucaramanga,,0.0,0.0
Pablo Armero,1,2014,Colombia,Tumaco,,0.0,0.0
Marcos Coll,1,1962,Colombia,Barranquilla,,0.0,0.0
Radamel Falcao,1,2018,Colombia,Santa Marta,,0.0,0.0
Herman Gaviria,1,1994,Colombia,Carepa,,0.0,0.0
Teofilo Gutierrez,1,2014,Colombia,Barranquilla,,0.0,0.0
Marino Klinger,1,1962,Colombia,Buenaventura - Valle del Cauca,,0.0,0.0
Harold Lozano,1,1994-1998,Colombia,Cali,,0.0,0.0
Leider Preciado,1,1998,Colombia,Tumaco,,0.0,0.0
Antonio Rada,1,1962,Colombia,Sabanalarga - Atlántico,,0.0,0.0
Freddy Rincon,1,1990-1994-1998,Colombia,Buenaventura - Valle del Cauca,,0.0,0.0
Carlos Valderrama,1,1990-1994-1998,Colombia,Santa Marta,,0.0,0.0
Francisco Zuluaga,1,1962,Colombia,Medellín,,0.0,0.0
Joel Campbell,1,2014,Costa Rica,San José - Costa Rica,,0.0,0.0
Juan Cayasso,1,1990,Costa Rica,Limón,,0.0,0.0
Oscar Duarte,1,2014,Costa Rica,Catarina-Masaya,,0.0,0.0
Roger Flores,1,1990,Costa Rica,San José - Costa Rica,,0.0,0.0
Ronald Gonzalez,1,1990,Costa Rica,San José - Costa Rica,,0.0,0.0
Hernan Medford,1,1990-2002,Costa Rica,San Jose Province,,0.0,0.0
Winston Parks,1,2002,Costa Rica,Limón,,0.0,0.0
Marcos Urena,1,2014,Costa Rica,San José - Costa Rica,,0.0,0.0
Kendall Waston,1,2018,Costa Rica,San José - Costa Rica,,0.0,0.0
Mauricio Wright,1,2002,Costa Rica,San José - Costa Rica,,0.0,0.0
Bonaventure Kalou,1,2006,Cote dIvoire,Oumé,,0.0,0.0
Salomon Kalou,1,2010,Cote dIvoire,Oumé,,0.0,0.0
Bakary Kone,1,2006,Cote dIvoire,Ouagadougou,,0.0,0.0
Romaric,1,2006-2010,Cote dIvoire,Abidjan,,0.0,0.0
Yaya Toure,1,2006-2010,Cote dIvoire,Bouaké,,0.0,0.0
Milan Badelj,1,2018,Croatia,Zagreb,,0.0,0.0
Niko Kovac,1,2002-2006,Croatia,Wedding (Berlin),,0.0,0.0
Ivan Rakitic,1,2018,Croatia,Rheinfelden (Aargau),,0.0,0.0
Ante Rebic,1,2018,Croatia,Split - Croatia,,0.0,0.0
Mario Stanic,1,1998-2002,Croatia,Sarajevo,,0.0,0.0
Tomas Fernandez,1,1938,Cuba,unknown - spain,,0.0,0.0
Carlos Oliveira,1,1938,Cuba,NULL,Cuba,0.0,0.0
Juan Tunas,1,1938,Cuba,Havana,,0.0,0.0
Lubos Kubik,1,1990,Czech,Vysoké Mýto,,0.0,0.0
Vaclav Masek,1,1962,Czech,Prague,,0.0,0.0
Josef Masopust,1,1958-1962,Czech,Czechoslovakia,,0.0,0.0
Josef Stibranyi,1,1962,Czech,Vl?kovce,,0.0,0.0
Josef Zeman,1,1938,Czech,Drun?e,,0.0,0.0
Jan Koller,1,2006,Czech Republic,Prague,,0.0,0.0
Nicklas Bendtner,1,2010,Denmark,Copenhagen,,0.0,0.0
John Eriksen,1,1986,Denmark,Assens - Denmark,,0.0,0.0
Christian Eriksen,1,2018,Denmark,Middelfart,,0.0,0.0
Thomas Helveg,1,1998-2002,Denmark,Odense,,0.0,0.0
Martin Jorgensen,1,1998-2002-2010,Denmark,Ryomgård,,0.0,0.0
Mathias Jorgensen,1,2018,Denmark,Copenhagen,,0.0,0.0
Soren Lerby,1,1986,Denmark,Copenhagen,,0.0,0.0
Peter Moller,1,1998,Denmark,Abildgård,,0.0,0.0
Allan Nielsen,1,1998,Denmark,Esbjerg,,0.0,0.0
Yussuf Yurary Poulsen,1,2018,Denmark,Copenhagen,,0.0,0.0
Marc Rieper,1,1998,Denmark,Rødovre,,0.0,0.0
Ebbe Sand,1,1998-2002,Denmark,Aalborg,,0.0,0.0
Ivan Kaviedes,1,2002-2006,Ecuador,Santo Domingo de Los Colorados,,0.0,0.0
Edison Mendez,1,2002-2006,Ecuador,Ibarra - Ecuador,,0.0,0.0
Magdy Abedelghani,1,1990,Egypt,Cairo,,0.0,0.0
Luis Ramirez,1,1982,El Salvador,San Salvador,,0.0,0.0
Dele Alli,1,2018,England,Milton Keynes,,0.0,0.0
Darren Anderton,1,1998,England,Southampton,,0.0,0.0
Peter Beardsley,1,1986-1990,England,Hexham,,0.0,0.0
Sol Campbell,1,1998-2002-2006,England,Plaistow - Newham,,0.0,0.0
Allan Clarke,1,1970,England,Shortheath,,0.0,0.0
Joe Cole,1,2002-2006-2010,England,Paddington,,0.0,0.0
Peter Crouch,1,2006-2010,England,Macclesfield,,0.0,0.0
Jermain Defoe,1,2010,England,Beckton,,0.0,0.0
Rio Ferdinand,1,2002-2006,England,Camberwell,,0.0,0.0
Jimmy Greaves,1,1962-1966,England,Manor Park - Essex,,0.0,0.0
Johnny Haynes,1,1958-1962,England,Kentish Town,,0.0,0.0
Emile Heskey,1,2002-2010,England,Leicester,,0.0,0.0
Gerry Hitchens,1,1962,England,Rawnsley - Staffordshire - England,,0.0,0.0
Jesse Lingard,1,2018,England,Warrington,,0.0,0.0
Harry Maguire,1,2018,England,Sheffield,,0.0,0.0
Wilf Mannion,1,1950,England,South Bank - Middlesbrough,,0.0,0.0
Paul Mariner,1,1982,England,Farnworth,,0.0,0.0
Stan Mortensen,1,1950,England,South Shields,,0.0,0.0
Jimmy Mullen,1,1950-1954,England,Newcastle upon Tyne,,0.0,0.0
Alan Mullery,1,1970,England,Notting Hill,,0.0,0.0
Wayne Rooney,1,2014,England,Liverpool,,0.0,0.0
Paul Scholes,1,1998-2002,England,Salford,,0.0,0.0
Daniel Sturridge,1,2014,England,Birmingham,,0.0,0.0
Kieran Trippier,1,2018,England,Bury - Greater Manchester,,0.0,0.0
Matt Upson,1,2010,England,Eye - Suffolk,,0.0,0.0
Dennis Wilshaw,1,1954,England,Stoke-on-Trent,,0.0,0.0
Mark Wright,1,1990,England,Dorchester-on-Thames,,0.0,0.0
Manuel Amoros,1,1982-1986,France,Nîmes,,0.0,0.0
Marc Berdoll,1,1978,France,Trélazé,,0.0,0.0
Laurent Blanc,1,1998,France,Alès,,0.0,0.0
Maxime Bossis,1,1978-1982-1986,France,Saint-André-Treize-Voies,,0.0,0.0
Alain Couriol,1,1982,France,Paris - France,,0.0,0.0
Hector De Bourgoing,1,1966,France,Posadas - Misiones,,0.0,0.0
Youri Djorkaeff,1,1998-2002,France,Lyon,,0.0,0.0
Yvon Douis,1,1958,France,Les Andelys,,0.0,0.0
Christophe Dugarry,1,1998-2002,France,Lormont,,0.0,0.0
Leroy Fer,1,2014,France,Zoetermeer,,0.0,0.0
Luis Fernandez,1,1986,France,Tarifa,,0.0,0.0
Jean Marc Ferreri,1,1986,France,Charlieu,,0.0,0.0
Rene Girard,1,1982,France,Vauvert,,0.0,0.0
Gerard Hausser,1,1966,France,Strasbourg,,0.0,0.0
Oscar Heisserer,1,1938,France,Schirrhein,,0.0,0.0
Bernard Lacombe,1,1978-1982,France,Lyon,,0.0,0.0
Marcel Langiller,1,1930,France,Charenton-le-Pont,,0.0,0.0
Lucien Laurent,1,1930,France,Saint-Maur-des-Fossés,,0.0,0.0
Bixente Lizarazu,1,1998-2002,France,Saint-Jean-de-Luz,,0.0,0.0
Christian Lopez,1,1978-1982,France,Ain Temouchent,,0.0,0.0
