Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Estanislao Basora,5,1950,Spain,Spain,,0.0,0.0
Emilio Butragueno,5,1986-1990,Spain,Madrid,,0.0,0.0
Fernando Hierro,5,1994-1998-2002,Spain,Vélez-Málaga,,0.0,0.0
Fernando Morientes,5,1998-2002,Spain,Cilleros,,0.0,0.0
Raul,5,1998-2002-2006,Spain,SEARCH MANUALLY,,0.0,0.0
Kennet Andersson,5,1994,Sweden,Eskilstuna,,0.0,0.0
Edinson Cavani,5,2010-2014-2018,Uruguay,Salto,,0.0,0.0
Pedro Cea,5,1930,Uruguay,Montevideo,,0.0,0.0
Juan Schiaffino,5,1950-1954,Uruguay,Montevideo,,0.0,0.0
Landon Donovan,5,2002-2006-2010,USA,Ontario,,0.0,0.0
Valentin Ivanov,5,1958-1962,USSR,SEARCH MANUALLY,,0.0,0.0
Xherdan Shaqiri,5,2014-2018-2022,Switzerland,Gjilan,,0.0,0.0
Olivier Giroud,5,2014-2022,France,Chambéry,,0.0,0.0
Daniel Bertoni,4,1978-1982,Argentina,Bahía Blanca,,0.0,0.0
Claudio Caniggia,4,1990-1994-2002,Argentina,Henderson-Buenos Aires,,0.0,0.0
Hernan Crespo,4,1998-2002-2006,Argentina,Florida-Buenos Aires,,0.0,0.0
Rene Houseman,4,1974-1978,Argentina,La Banda-Argentina,,0.0,0.0
Leopoldo Luque,4,1978,Argentina,Santa Fe-Argentina,,0.0,0.0
Jorge Valdano,4,1982-1986,Argentina,Las Parejas-Santa Fe,,0.0,0.0
Jan Ceulemans,4,1982-1986-1990,Belgium,Lier-Belgium,,0.0,0.0
Chico,4,1950,Brazil,SEARCH MANUALLY,,0.0,0.0
Socrates,4,1982-1986,Brazil,SEARCH MANUALLY,,0.0,0.0
Marcelo Salas,4,1998,Chile,Temuco,,0.0,0.0
Leonel Sanchez,4,1962-1966,Chile,Santiago-Chile,,0.0,0.0
Guillermo Subiabre,4,1930,Chile,Osorno-Chile,,0.0,0.0
Zdenek Zikan,4,1958,Czech,Prague,,0.0,0.0
Preben Elkjaer Larsen,4,1986,Denmark,Copenhagen,,0.0,0.0
Bobby Charlton,4,1962-1966-1970,England,Ashington,,0.0,0.0
Michael Owen,4,1998-2002-2006,England,Chester,,0.0,0.0
Antoine Griezmann,4,2018,France,Mâcon,,0.0,0.0
Roger Piantoni,4,1958,France,Étain-Meuse,,0.0,0.0
Dominique Rocheteau,4,1978-1982-1986,France,Saintes-Charente-Maritime,,0.0,0.0
Oliver Bierhoff,4,1998-2002,Germany,Karlsruhe,,0.0,0.0
Andreas Brehme,4,1986-1990-1994,Germany,Hamburg,,0.0,0.0
Paul Breitner,4,1974-1982,Germany,Kolbermoor,,0.0,0.0
Edmund Conen,4,1934,Germany,Ürzig,,0.0,0.0
Ottmar Walter,4,1954,Germany,Kaiserslautern,,0.0,0.0
Florian Albert,4,1962-1966,Hungary,Hercegszántó,,0.0,0.0
Ferenc Bene,4,1966,Hungary,Balatonújlak,,0.0,0.0
Nandor Hidegkuti,4,1954-1958,Hungary,Budapest,,0.0,0.0
Ferenc Puskas,4,1954-1962,Hungary,Budapest,,0.0,0.0
Alessandro Altobelli,4,1982-1986,Italy,Sonnino,,0.0,0.0
Gino Colaussi,4,1938,Italy,Gradisca d'Isonzo,,0.0,0.0
Angelo Schiavio,4,1934,Italy,Bologna,,0.0,0.0
Keisuke Honda,4,2010-2014-2018,Japan,Settsu-Osaka,,0.0,0.0
Luis Hernandez,4,1998-2002,Mexico,SEARCH MANUALLY,,0.0,0.0
Javier Hernandez,4,2010-2014-2018,Mexico,Guadalajara,,0.0,0.0
Ahmed Musa,4,2014-2018,Nigeria,Jos-Nigeria,,0.0,0.0
Ernest Wilimowski,4,1938,Poland,Katowice,,0.0,0.0
Pauleta,4,2002-2006,Portugal,Ponta Delgada (Azores),,0.0,0.0
Florin Raducioiu,4,1990-1994,Romania,Bucharest,,0.0,0.0
Denis Cheryshev,4,2018,Russia,Nizhny Novgorod,,0.0,0.0
Robert Vittek,4,2010,Slovakia,Bratislava,,0.0,0.0
Michel,4,1986-1990,Spain,SEARCH MANUALLY,,0.0,0.0
Fernando Torres,4,2006-2010-2014,Spain,Fuenlabrada,,0.0,0.0
Zarra,4,1950,Spain,Erandio,,0.0,0.0
Tomas Brolin,4,1990-1994,Sweden,Hudiksvall,,0.0,0.0
Martin Dahlin,4,1994,Sweden,Uddevalla,,0.0,0.0
Ralf Edstrom,4,1974-1978,Sweden,Degerfors,,0.0,0.0
